# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'ibs_op//'
# Total weight : 2183859
# Sort order   : local_weight,mem,sym,dso
#
# Overhead       Samples  Local Weight  Memory access                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Shared Object     
# ........  ............  ............  .......................................  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ..................
#
     0.00%             2  0             N/A                                      [k] vma_modify_flags                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             2  0             N/A                                      [k] xhci_giveback_urb_in_irq.isra.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [xhci_hcd]        
     0.00%             2  0             L1 hit                                   [k] __cgroup_account_cputime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] __pick_next_task.part.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] __vmf_anon_prepare                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] __x64_sys_clock_gettime                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] __x86_indirect_thunk_rcx                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] _nv029061rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L1 hit                                   [k] _nv029629rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L1 hit                                   [k] _nv029716rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L1 hit                                   [k] _nv035165rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L1 hit                                   [k] _nv055187rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L1 hit                                   [k] _raw_spin_trylock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] _raw_spin_unlock_irqrestore                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] apic_ack_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] do_syscall_64                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] enqueue_task_rt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] folio_add_lru                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] folios_put_refs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] free_pages_and_swap_cache                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] hrtimer_start_range_ns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] ip_finish_output2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] ip_route_input_slow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] kfree                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] kmalloc_reserve                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] mas_store_prealloc                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] merge_sched_in                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] migrate_disable_switch.isra.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] mod_lruvec_state                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] native_queued_spin_lock_slowpath                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] nft_do_chain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [nf_tables]       
     0.00%             2  0             L1 hit                                   [k] nft_fib4_eval                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [nft_fib_ipv4]    
     0.00%             2  0             L1 hit                                   [k] os_release_spinlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [nvidia]          
     0.00%             2  0             L1 hit                                   [k] page_counter_try_charge                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] pick_next_task_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] process_one_work                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] propagate_entity_load_avg                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] psi_task_change                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] record_times                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] rtw89_pci_interrupt_handler                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [rtw89_pci]       
     0.00%             2  0             L1 hit                                   [k] sched_balance_domains                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] set_next_entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             2  0             L1 hit                                   [k] unmap_page_range                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [kernel.kallsyms] 
     0.00%             2  0             L2 hit                                   [.] CPUStressTest::cpuHashStressTest(int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         SysPulse_profiling
     0.00%             2  0             L2 hit                                   [.] MemoryStressTest::performRandomAccess(unsigned char*, unsigned long)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          SysPulse_profiling
     0.00%             2  0             L2 hit                                   [k] _nv015583rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L2 hit                                   [k] _nv029400rm                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [nvidia]          
     0.00%             2  0             L2 hit                                   [k] enqueue_task_fair                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             2  0             L2 hit                                   [k] exc_page_fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             2  0             L2 hit                                   [k] hrtimer_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             2  0             L2 hit                                   [k] srso_alias_return_thunk                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [kernel.kallsyms] 
     0.00%             2  0             L2 hit                                   [k] sysvec_apic_timer_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] ___free_pages                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __alloc_tagging_slab_alloc_hook                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __call_rcu_common                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __common_interrupt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __const_udelay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __dev_pm_qos_resume_latency                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [kernel.kallsyms] 
     0.00%             1  0             N/A                                      [k] __ieee80211_subif_start_xmit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  [mac80211]        
